narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_4_19,P01,P01_4,00:02:05.20,00:02:05.20,00:02:06.10,7512,7567,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_20,P01,P01_4,00:02:06.60,00:02:06.60,00:02:10.70,7596,7844,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_21,P01,P01_4,00:02:12.20,00:02:12.20,00:02:14.70,7930,8080,stir food,stir,10,food,34,['food'],[34]
P01_6_0,P01,P01_6,00:00:00.90,00:00:00.90,00:00:02.30,53,136,add oil,add,46,oil,31,['oil'],[31]
P01_6_4,P01,P01_6,00:01:11.80,00:01:11.80,00:01:12.80,4306,4366,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_6_5,P01,P01_6,00:01:18.80,00:01:18.80,00:01:28.20,4729,5291,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_8,P01,P01_6,00:02:03.30,00:02:03.30,00:02:07.90,7396,7671,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_10,P01,P01_6,00:02:18.20,00:02:18.20,00:02:20.50,8294,8430,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_11,P01,P01_6,00:02:20.90,00:02:20.90,00:02:21.20,8453,8475,remove pot,remove,12,pot,29,['pot'],[29]
P01_6_13,P01,P01_6,00:02:29.60,00:02:29.60,00:02:29.90,8975,8996,add oil,add,46,oil,31,['oil'],[31]
P01_6_14,P01,P01_6,00:02:39.00,00:02:39.00,00:02:46.30,9538,9975,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_16,P01,P01_6,00:03:06.90,00:03:06.90,00:03:09.20,11216,11351,add pasta,add,46,pasta,45,['pasta'],[45]
P01_6_17,P01,P01_6,00:03:11.10,00:03:11.10,00:03:18.30,11469,11900,add pasta,add,46,pasta,45,['pasta'],[45]
P01_6_19,P01,P01_6,00:03:20.20,00:03:20.20,00:03:23.10,12010,12189,transfer vegetable,transfer,11,vegetable,94,['vegetable'],[94]
P01_6_21,P01,P01_6,00:03:25.30,00:03:25.30,00:03:27.10,12316,12428,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_27,P01,P01_6,00:03:53.50,00:03:53.50,00:03:57.80,14013,14270,stir food,stir,10,food,34,['food'],[34]
P01_6_28,P01,P01_6,00:04:03.40,00:04:03.40,00:04:03.70,14604,14621,add oil,add,46,oil,31,['oil'],[31]
P01_6_29,P01,P01_6,00:04:03.90,00:04:03.90,00:04:04.20,14633,14655,add oil,add,46,oil,31,['oil'],[31]
P01_6_31,P01,P01_6,00:04:10.10,00:04:10.10,00:04:19.00,15004,15541,stir food,stir,10,food,34,['food'],[34]
P01_6_32,P01,P01_6,00:04:26.30,00:04:26.30,00:04:27.60,15980,16055,add salt,add,46,salt,38,['salt'],[38]
P01_6_33,P01,P01_6,00:04:27.70,00:04:27.70,00:04:28.70,16062,16122,add salt,add,46,salt,38,['salt'],[38]
P01_6_34,P01,P01_6,00:04:35.60,00:04:35.60,00:04:36.20,16539,16570,add spice,add,46,spice,85,['spice'],[85]
P01_6_35,P01,P01_6,00:04:36.30,00:04:36.30,00:04:36.70,16580,16605,add spice,add,46,spice,85,['spice'],[85]
P01_6_36,P01,P01_6,00:04:40.30,00:04:40.30,00:04:42.50,16820,16949,stir food,stir,10,food,34,['food'],[34]
P01_6_37,P01,P01_6,00:04:42.70,00:04:42.70,00:04:48.10,16959,17285,stir food,stir,10,food,34,['food'],[34]
P01_6_39,P01,P01_6,00:05:31.10,00:05:31.10,00:05:40.40,19866,20425,stir food,stir,10,food,34,['food'],[34]
P01_6_40,P01,P01_6,00:05:40.80,00:05:40.80,00:05:46.00,20446,20760,stir food,stir,10,food,34,['food'],[34]
P01_6_41,P01,P01_6,00:06:02.00,00:06:02.00,00:06:07.00,21721,22021,stir food,stir,10,food,34,['food'],[34]
P01_6_42,P01,P01_6,00:06:07.20,00:06:07.20,00:06:12.30,22030,22339,stir food,stir,10,food,34,['food'],[34]
P01_6_43,P01,P01_6,00:06:12.80,00:06:12.80,00:06:15.00,22368,22501,stir food,stir,10,food,34,['food'],[34]
P01_10_0,P01,P01_10,00:02:20.00,00:02:20.00,00:02:28.00,8400,8880,stir onion,stir,10,onion,16,['onion'],[16]
P01_10_1,P01,P01_10,00:02:52.40,00:02:52.40,00:02:58.70,10344,10723,stir onion,stir,10,onion,16,['onion'],[16]
P01_10_2,P01,P01_10,00:02:59.90,00:02:59.90,00:03:01.40,10796,10883,add rice,add,46,rice,152,['rice'],[152]
P01_10_3,P01,P01_10,00:03:01.60,00:03:01.60,00:03:09.20,10895,11355,stir food,stir,10,food,34,['food'],[34]
P01_10_5,P01,P01_10,00:03:19.20,00:03:19.20,00:03:37.40,11954,13045,stir food,stir,10,food,34,['food'],[34]
P01_10_6,P01,P01_10,00:03:40.00,00:03:40.00,00:03:43.40,13200,13405,add water,add,46,water,27,['water'],[27]
P01_10_7,P01,P01_10,00:03:45.10,00:03:45.10,00:03:51.10,13507,13865,stir food,stir,10,food,34,['food'],[34]
P01_10_8,P01,P01_10,00:04:04.40,00:04:04.40,00:04:05.00,14663,14702,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_10_9,P01,P01_10,00:04:05.80,00:04:05.80,00:04:06.30,14749,14780,stir food,stir,10,food,34,['food'],[34]
P01_10_10,P01,P01_10,00:04:16.80,00:04:16.80,00:04:25.40,15406,15926,stir food,stir,10,food,34,['food'],[34]
P01_10_11,P01,P01_10,00:04:28.70,00:04:28.70,00:04:29.60,16120,16179,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_12,P01,P01_10,00:06:27.00,00:06:27.00,00:06:28.00,23221,23283,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_13,P01,P01_10,00:06:27.80,00:06:27.80,00:06:39.30,23269,23960,stir food,stir,10,food,34,['food'],[34]
P01_10_14,P01,P01_10,00:06:39.40,00:06:39.40,00:06:40.30,23964,24016,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_15,P01,P01_10,00:06:39.90,00:06:39.90,00:06:45.50,23996,24330,stir food,stir,10,food,34,['food'],[34]
P01_10_16,P01,P01_10,00:06:46.70,00:06:46.70,00:06:47.70,24403,24463,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_17,P01,P01_10,00:07:42.30,00:07:42.30,00:07:43.60,27735,27813,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_18,P01,P01_10,00:07:43.60,00:07:43.60,00:07:50.90,27815,28251,stir food,stir,10,food,34,['food'],[34]
P01_10_19,P01,P01_10,00:07:52.30,00:07:52.30,00:07:53.90,28338,28436,add water,add,46,water,27,['water'],[27]
P01_10_21,P01,P01_10,00:08:05.50,00:08:05.50,00:08:11.00,29128,29461,stir food,stir,10,food,34,['food'],[34]
P01_10_22,P01,P01_10,00:08:12.40,00:08:12.40,00:08:13.60,29545,29615,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_23,P01,P01_10,00:10:19.60,00:10:19.60,00:10:20.70,37176,37243,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_24,P01,P01_10,00:10:21.90,00:10:21.90,00:10:29.40,37313,37763,stir food,stir,10,food,34,['food'],[34]
P01_10_25,P01,P01_10,00:10:32.00,00:10:32.00,00:10:33.70,37919,38020,add water,add,46,water,27,['water'],[27]
P01_10_26,P01,P01_10,00:10:35.60,00:10:35.60,00:10:36.80,38134,38208,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_27,P01,P01_10,00:11:55.10,00:11:55.10,00:11:57.10,42908,43025,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_28,P01,P01_10,00:11:57.10,00:11:57.10,00:12:02.70,43025,43361,stir food,stir,10,food,34,['food'],[34]
P01_10_29,P01,P01_10,00:12:03.90,00:12:03.90,00:12:06.10,43431,43564,stir food,stir,10,food,34,['food'],[34]
P01_10_30,P01,P01_10,00:12:06.30,00:12:06.30,00:12:07.10,43576,43628,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_31,P01,P01_10,00:14:31.00,00:14:31.00,00:14:33.70,52260,52420,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_32,P01,P01_10,00:14:33.70,00:14:33.70,00:14:40.20,52420,52813,stir food,stir,10,food,34,['food'],[34]
P01_10_33,P01,P01_10,00:14:41.00,00:14:41.00,00:14:43.60,52860,53015,add water,add,46,water,27,['water'],[27]
P01_10_34,P01,P01_10,00:14:47.40,00:14:47.40,00:14:52.40,53244,53543,add spice,add,46,spice,85,['spice'],[85]
P01_10_35,P01,P01_10,00:14:54.20,00:14:54.20,00:15:01.10,53652,54064,stir food,stir,10,food,34,['food'],[34]
P01_10_36,P01,P01_10,00:15:03.90,00:15:03.90,00:15:05.00,54231,54303,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_37,P01,P01_10,00:17:41.30,00:17:41.30,00:17:42.30,63678,63738,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_38,P01,P01_10,00:17:42.70,00:17:42.70,00:17:52.80,63760,64365,stir food,stir,10,food,34,['food'],[34]
P01_10_39,P01,P01_10,00:18:01.70,00:18:01.70,00:18:06.00,64900,65161,stir food,stir,10,food,34,['food'],[34]
P01_10_40,P01,P01_10,00:18:18.20,00:18:18.20,00:18:21.50,65890,66093,add spice,add,46,spice,85,['spice'],[85]
P01_10_41,P01,P01_10,00:18:24.80,00:18:24.80,00:18:31.50,66285,66690,stir food,stir,10,food,34,['food'],[34]
P01_10_42,P01,P01_10,00:18:32.80,00:18:32.80,00:18:35.30,66770,66915,add water,add,46,water,27,['water'],[27]
P01_10_43,P01,P01_10,00:18:37.70,00:18:37.70,00:18:48.40,67059,67706,stir food,stir,10,food,34,['food'],[34]
P01_10_44,P01,P01_10,00:18:55.10,00:18:55.10,00:19:09.20,68105,68951,add cheese,add,46,cheese,32,['cheese'],[32]
P01_10_45,P01,P01_10,00:19:12.20,00:19:12.20,00:19:17.80,69134,69466,add cheese,add,46,cheese,32,['cheese'],[32]
P01_10_46,P01,P01_10,00:19:27.20,00:19:27.20,00:19:46.20,70031,71175,stir food,stir,10,food,34,['food'],[34]
P01_10_47,P01,P01_10,00:19:52.40,00:19:52.40,00:19:54.80,71545,71688,add milk,add,46,milk,64,['milk'],[64]
P01_10_48,P01,P01_10,00:20:04.30,00:20:04.30,00:20:22.60,72260,73354,stir food,stir,10,food,34,['food'],[34]
P01_10_49,P01,P01_10,00:20:27.80,00:20:27.80,00:20:29.60,73669,73774,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_50,P01,P01_10,00:27:26.40,00:27:26.40,00:27:27.10,98785,98825,remove pot,remove,12,pot,29,['pot'],[29]
P01_12_3,P01,P01_12,00:00:19.20,00:00:19.20,00:00:21.80,1153,1309,add oil,add,46,oil,31,['oil'],[31]
P01_12_4,P01,P01_12,00:00:45.00,00:00:45.00,00:00:49.90,2703,2994,spread oil,spread,27,oil,31,['oil'],[31]
P01_12_6,P01,P01_12,00:01:13.70,00:01:13.70,00:01:14.50,4425,4473,add meat,add,46,meat,28,['meat'],[28]
P01_12_7,P01,P01_12,00:01:16.50,00:01:16.50,00:01:17.50,4589,4649,add meat,add,46,meat,28,['meat'],[28]
P01_12_8,P01,P01_12,00:01:19.40,00:01:19.40,00:01:19.80,4763,4790,add meat,add,46,meat,28,['meat'],[28]
P01_12_9,P01,P01_12,00:01:22.30,00:01:22.30,00:01:22.50,4935,4948,add meat,add,46,meat,28,['meat'],[28]
P01_12_10,P01,P01_12,00:01:24.50,00:01:24.50,00:01:26.50,5073,5190,add meat,add,46,meat,28,['meat'],[28]
P01_12_11,P01,P01_12,00:01:28.50,00:01:28.50,00:01:29.10,5313,5345,add meat,add,46,meat,28,['meat'],[28]
P01_12_12,P01,P01_12,00:01:29.40,00:01:29.40,00:01:30.00,5365,5398,add meat,add,46,meat,28,['meat'],[28]
P01_12_13,P01,P01_12,00:01:38.20,00:01:38.20,00:01:43.00,5891,6178,add meat,add,46,meat,28,['meat'],[28]
P01_12_14,P01,P01_12,00:01:54.80,00:01:54.80,00:01:57.50,6888,7048,add salt,add,46,salt,38,['salt'],[38]
P01_12_15,P01,P01_12,00:02:02.40,00:02:02.40,00:02:46.10,7343,9968,stir meat,stir,10,meat,28,['meat'],[28]
P01_12_16,P01,P01_12,00:02:47.10,00:02:47.10,00:02:49.30,10026,10155,stir meat,stir,10,meat,28,['meat'],[28]
P01_14_0,P01,P01_14,00:00:03.80,00:00:03.80,00:00:06.20,228,369,move saucepan,move,11,saucepan,5,['saucepan'],[5]
P01_16_0,P01,P01_16,00:00:10.60,00:00:10.60,00:00:23.50,634,1410,shake egg,shake,15,egg,53,['egg'],[53]
P01_16_1,P01,P01_16,00:00:28.40,00:00:28.40,00:00:31.70,1706,1903,add cheese,add,46,cheese,32,['cheese'],[32]
P01_16_4,P01,P01_16,00:01:00.00,00:01:00.00,00:01:01.00,3600,3661,add oil,add,46,oil,31,['oil'],[31]
P01_16_5,P01,P01_16,00:01:19.40,00:01:19.40,00:01:21.90,4763,4911,spread oil,spread,27,oil,31,['oil'],[31]
P01_16_6,P01,P01_16,00:01:34.90,00:01:34.90,00:01:36.40,5694,5781,shake egg,shake,15,egg,53,['egg'],[53]
P01_16_8,P01,P01_16,00:01:57.20,00:01:57.20,00:01:59.10,7030,7145,add salt,add,46,salt,38,['salt'],[38]
P01_16_9,P01,P01_16,00:02:43.70,00:02:43.70,00:03:02.40,9821,10944,flip tortilla,flip,22,tortilla,107,['tortilla'],[107]
P01_16_10,P01,P01_16,00:03:15.10,00:03:15.10,00:03:16.90,11705,11811,flip tortilla,flip,22,tortilla,107,['tortilla'],[107]
P01_18_0,P01,P01_18,00:00:02.90,00:00:02.90,00:00:04.20,173,250,add saucepan,add,46,saucepan,5,['saucepan'],[5]
P01_18_3,P01,P01_18,00:00:16.40,00:00:16.40,00:00:18.00,986,1080,add oil,add,46,oil,31,['oil'],[31]
P01_18_4,P01,P01_18,00:00:21.50,00:00:21.50,00:00:26.10,1290,1568,add garlic,add,46,garlic,51,['garlic'],[51]
P01_18_5,P01,P01_18,00:00:28.10,00:00:28.10,00:00:29.70,1687,1784,add garlic,add,46,garlic,51,['garlic'],[51]
P01_18_6,P01,P01_18,00:00:32.10,00:00:32.10,00:00:38.80,1924,2325,add garlic,add,46,garlic,51,['garlic'],[51]
P01_18_7,P01,P01_18,00:00:41.00,00:00:41.00,00:00:45.00,2460,2701,stir garlic,stir,10,garlic,51,['garlic'],[51]
P01_18_9,P01,P01_18,00:00:53.80,00:00:53.80,00:00:55.40,3229,3325,add garlic,add,46,garlic,51,['garlic'],[51]
P01_18_10,P01,P01_18,00:01:52.30,00:01:52.30,00:01:54.90,6739,6893,add carrot,add,46,carrot,23,['carrot'],[23]
P01_18_11,P01,P01_18,00:02:01.80,00:02:01.80,00:02:05.70,7310,7544,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_18_12,P01,P01_18,00:02:09.10,00:02:09.10,00:02:10.20,7748,7810,add salt,add,46,salt,38,['salt'],[38]
P01_18_13,P01,P01_18,00:02:16.30,00:02:16.30,00:02:17.20,8176,8231,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_14,P01,P01_18,00:02:47.50,00:02:47.50,00:02:48.30,10048,10095,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_15,P01,P01_18,00:02:50.80,00:02:50.80,00:02:53.50,10250,10413,add onion,add,46,onion,16,['onion'],[16]
P01_18_16,P01,P01_18,00:02:57.10,00:02:57.10,00:03:06.00,10628,11159,stir food,stir,10,food,34,['food'],[34]
P01_18_17,P01,P01_18,00:03:08.30,00:03:08.30,00:03:09.70,11298,11380,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_19,P01,P01_18,00:04:14.00,00:04:14.00,00:04:15.20,15239,15310,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_20,P01,P01_18,00:04:18.00,00:04:18.00,00:04:25.00,15481,15901,stir food,stir,10,food,34,['food'],[34]
P01_18_21,P01,P01_18,00:04:29.40,00:04:29.40,00:04:32.60,16161,16358,add potato,add,46,potato,30,['potato'],[30]
P01_18_22,P01,P01_18,00:04:35.60,00:04:35.60,00:04:45.50,16534,17130,stir food,stir,10,food,34,['food'],[34]
P01_18_23,P01,P01_18,00:04:46.30,00:04:46.30,00:04:48.30,17178,17300,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_24,P01,P01_18,00:06:31.20,00:06:31.20,00:06:32.20,23473,23533,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_25,P01,P01_18,00:06:34.20,00:06:34.20,00:06:42.00,23649,24119,stir food,stir,10,food,34,['food'],[34]
P01_18_26,P01,P01_18,00:06:43.80,00:06:43.80,00:06:49.30,24228,24559,stir food,stir,10,food,34,['food'],[34]
P01_18_28,P01,P01_18,00:07:25.60,00:07:25.60,00:07:38.90,26735,27533,stir food,stir,10,food,34,['food'],[34]
P01_18_29,P01,P01_18,00:07:42.70,00:07:42.70,00:07:44.10,27761,27845,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_18_30,P01,P01_18,00:07:52.80,00:07:52.80,00:07:54.00,28370,28440,add broccoli,add,46,broccoli,101,['broccoli'],[101]
P01_18_31,P01,P01_18,00:07:55.10,00:07:55.10,00:07:56.10,28504,28565,add broccoli,add,46,broccoli,101,['broccoli'],[101]
P01_18_32,P01,P01_18,00:07:57.30,00:07:57.30,00:07:58.30,28637,28697,add broccoli,add,46,broccoli,101,['broccoli'],[101]
P01_18_33,P01,P01_18,00:07:59.50,00:07:59.50,00:08:00.50,28771,28831,add broccoli,add,46,broccoli,101,['broccoli'],[101]
P01_18_34,P01,P01_18,00:08:03.60,00:08:03.60,00:08:06.00,29015,29160,add broccoli,add,46,broccoli,101,['broccoli'],[101]
P01_18_35,P01,P01_18,00:08:08.80,00:08:08.80,00:08:10.60,29326,29435,add salt,add,46,salt,38,['salt'],[38]
P01_18_36,P01,P01_18,00:08:11.40,00:08:11.40,00:08:13.20,29484,29590,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_18_37,P01,P01_18,00:08:13.60,00:08:13.60,00:08:16.20,29616,29773,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_38,P01,P01_18,00:09:10.40,00:09:10.40,00:09:13.10,33025,33185,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_39,P01,P01_18,00:09:11.60,00:09:11.60,00:09:24.30,33095,33859,stir food,stir,10,food,34,['food'],[34]
P01_18_40,P01,P01_18,00:09:31.50,00:09:31.50,00:09:33.40,34290,34406,add water,add,46,water,27,['water'],[27]
P01_18_41,P01,P01_18,00:09:36.60,00:09:36.60,00:09:39.30,34593,34756,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_18_42,P01,P01_18,00:09:39.90,00:09:39.90,00:09:41.90,34793,34916,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_43,P01,P01_18,00:12:27.80,00:12:27.80,00:12:30.00,44868,45000,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_44,P01,P01_18,00:12:29.90,00:12:29.90,00:12:35.50,44993,45330,stir food,stir,10,food,34,['food'],[34]
P01_18_46,P01,P01_18,00:12:46.90,00:12:46.90,00:13:15.60,46016,47735,stir food,stir,10,food,34,['food'],[34]
P01_18_47,P01,P01_18,00:13:22.50,00:13:22.50,00:13:23.40,48147,48207,add water,add,46,water,27,['water'],[27]
P01_18_48,P01,P01_18,00:13:25.80,00:13:25.80,00:13:29.40,48349,48565,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_18_49,P01,P01_18,00:13:32.20,00:13:32.20,00:13:33.80,48730,48830,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_18_50,P01,P01_18,00:16:26.50,00:16:26.50,00:16:28.70,59191,59321,uncover saucepan,uncover,83,saucepan,5,['saucepan'],[5]
P01_18_51,P01,P01_18,00:16:29.20,00:16:29.20,00:16:48.90,59353,60535,stir food,stir,10,food,34,['food'],[34]
P01_18_52,P01,P01_18,00:16:52.30,00:16:52.30,00:16:53.50,60736,60809,cover saucepan,cover,36,saucepan,5,['saucepan'],[5]
P01_24_0,P01,P01_24,00:00:01.50,00:00:01.50,00:00:02.40,92,144,remove pot,remove,12,pot,29,['pot'],[29]
P01_24_3,P01,P01_24,00:00:27.00,00:00:27.00,00:00:27.90,1618,1675,cover pot,cover,36,pot,29,['pot'],[29]
P01_24_4,P01,P01_24,00:02:27.00,00:02:27.00,00:02:28.30,8822,8898,add saucepan,add,46,saucepan,5,['saucepan'],[5]
P01_24_6,P01,P01_24,00:02:41.40,00:02:41.40,00:02:43.10,9686,9786,add oil,add,46,oil,31,['oil'],[31]
P01_24_8,P01,P01_24,00:02:51.00,00:02:51.00,00:02:56.70,10259,10600,add mushroom,add,46,mushroom,56,['mushroom'],[56]
P01_24_9,P01,P01_24,00:02:58.40,00:02:58.40,00:03:00.10,10705,10805,add mushroom,add,46,mushroom,56,['mushroom'],[56]
P01_24_10,P01,P01_24,00:03:02.00,00:03:02.00,00:03:02.50,10919,10951,add mushroom,add,46,mushroom,56,['mushroom'],[56]
P01_24_11,P01,P01_24,00:03:03.50,00:03:03.50,00:03:05.30,11008,11120,add salt,add,46,salt,38,['salt'],[38]
P01_24_12,P01,P01_24,00:03:08.40,00:03:08.40,00:03:09.20,11304,11350,add mushroom,add,46,mushroom,56,['mushroom'],[56]
P01_24_13,P01,P01_24,00:03:11.30,00:03:11.30,00:03:12.00,11479,11519,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_24_14,P01,P01_24,00:03:12.10,00:03:12.10,00:03:13.00,11526,11580,cover pot,cover,36,pot,29,['pot'],[29]
P01_24_15,P01,P01_24,00:03:41.10,00:03:41.10,00:03:42.80,13266,13365,add mushroom,add,46,mushroom,56,['mushroom'],[56]
P01_24_16,P01,P01_24,00:03:48.60,00:03:48.60,00:03:51.80,13715,13910,add spice,add,46,spice,85,['spice'],[85]
P01_24_17,P01,P01_24,00:03:57.80,00:03:57.80,00:04:12.60,14271,15155,stir mushroom,stir,10,mushroom,56,['mushroom'],[56]
P01_24_18,P01,P01_24,00:04:21.30,00:04:21.30,00:04:24.50,15680,15871,stir mushroom,stir,10,mushroom,56,['mushroom'],[56]
P01_24_20,P01,P01_24,00:04:39.20,00:04:39.20,00:04:53.70,16753,17619,stir food,stir,10,food,34,['food'],[34]
P01_24_21,P01,P01_24,00:05:04.60,00:05:04.60,00:05:16.40,18278,18983,stir food,stir,10,food,34,['food'],[34]
P01_24_23,P01,P01_24,00:05:19.60,00:05:19.60,00:05:30.40,19176,19824,stir food,stir,10,food,34,['food'],[34]
P01_24_26,P01,P01_24,00:05:49.30,00:05:49.30,00:05:58.10,20955,21488,stir food,stir,10,food,34,['food'],[34]
P01_24_27,P01,P01_24,00:06:00.00,00:06:00.00,00:06:01.30,21600,21676,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_24_28,P01,P01_24,00:06:07.10,00:06:07.10,00:06:08.50,22028,22110,add pasta,add,46,pasta,45,['pasta'],[45]
P01_24_30,P01,P01_24,00:06:11.00,00:06:11.00,00:06:16.70,22258,22600,move pasta,move,11,pasta,45,['pasta'],[45]
P01_24_31,P01,P01_24,00:06:19.60,00:06:19.60,00:06:24.60,22778,23075,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_24_32,P01,P01_24,00:06:26.00,00:06:26.00,00:06:30.10,23161,23406,add salt,add,46,salt,38,['salt'],[38]
P01_24_33,P01,P01_24,00:06:32.30,00:06:32.30,00:06:34.60,23536,23675,stir food,stir,10,food,34,['food'],[34]
P01_24_35,P01,P01_24,00:06:38.20,00:06:38.20,00:06:47.50,23890,24450,stir food,stir,10,food,34,['food'],[34]
P01_24_37,P01,P01_24,00:07:49.40,00:07:49.40,00:07:54.30,28165,28455,stir food,stir,10,food,34,['food'],[34]
P01_24_38,P01,P01_24,00:07:55.80,00:07:55.80,00:07:56.80,28547,28607,add salt,add,46,salt,38,['salt'],[38]
P01_24_39,P01,P01_24,00:07:58.20,00:07:58.20,00:08:03.60,28690,29016,stir food,stir,10,food,34,['food'],[34]
P01_24_40,P01,P01_24,00:08:07.40,00:08:07.40,00:08:10.10,29245,29405,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_24_41,P01,P01_24,00:09:41.00,00:09:41.00,00:09:49.60,34861,35376,stir food,stir,10,food,34,['food'],[34]
P01_24_42,P01,P01_24,00:09:52.70,00:09:52.70,00:09:53.70,35561,35621,cover pot,cover,36,pot,29,['pot'],[29]
P01_26_1,P01,P01_26,00:00:05.70,00:00:05.70,00:00:07.10,339,425,add oil,add,46,oil,31,['oil'],[31]
P01_26_3,P01,P01_26,00:00:42.80,00:00:42.80,00:00:43.70,2570,2620,add salt,add,46,salt,38,['salt'],[38]
P01_26_6,P01,P01_26,00:01:01.60,00:01:01.60,00:01:07.80,3695,4069,stir food,stir,10,food,34,['food'],[34]
