narration_id,participant_id,video_id,start_timestamp,stop_timestamp,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_6_13,P01,P01_6,00:02:29.60,00:02:29.90,add oil,add,46,oil,31,['oil'],[31]
P01_6_14,P01,P01_6,00:02:39.00,00:02:46.30,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_16,P01,P01_6,00:03:06.90,00:03:09.20,add pasta,add,46,pasta,45,['pasta'],[45]
P01_6_17,P01,P01_6,00:03:11.10,00:03:18.30,add pasta,add,46,pasta,45,['pasta'],[45]
P01_6_19,P01,P01_6,00:03:20.20,00:03:23.10,transfer vegetable,transfer,11,vegetable,94,['vegetable'],[94]
P01_6_21,P01,P01_6,00:03:25.30,00:03:27.10,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_27,P01,P01_6,00:03:53.50,00:03:57.80,stir food,stir,10,food,34,['food'],[34]
P01_6_28,P01,P01_6,00:04:03.40,00:04:03.70,add oil,add,46,oil,31,['oil'],[31]
P01_6_29,P01,P01_6,00:04:03.90,00:04:04.20,add oil,add,46,oil,31,['oil'],[31]
P01_6_31,P01,P01_6,00:04:10.10,00:04:19.00,stir food,stir,10,food,34,['food'],[34]
P01_6_32,P01,P01_6,00:04:26.30,00:04:27.60,add salt,add,46,salt,38,['salt'],[38]
P01_6_33,P01,P01_6,00:04:27.70,00:04:28.70,add salt,add,46,salt,38,['salt'],[38]
P01_6_34,P01,P01_6,00:04:35.60,00:04:36.20,add spice,add,46,spice,85,['spice'],[85]
P01_6_35,P01,P01_6,00:04:36.30,00:04:36.70,add spice,add,46,spice,85,['spice'],[85]
P01_6_36,P01,P01_6,00:04:40.30,00:04:42.50,stir food,stir,10,food,34,['food'],[34]
P01_6_37,P01,P01_6,00:04:42.70,00:04:48.10,stir food,stir,10,food,34,['food'],[34]
P01_6_39,P01,P01_6,00:05:31.10,00:05:40.40,stir food,stir,10,food,34,['food'],[34]
P01_6_40,P01,P01_6,00:05:40.80,00:05:46.00,stir food,stir,10,food,34,['food'],[34]
P01_6_41,P01,P01_6,00:06:02.00,00:06:07.00,stir food,stir,10,food,34,['food'],[34]
P01_6_42,P01,P01_6,00:06:07.20,00:06:12.30,stir food,stir,10,food,34,['food'],[34]
P01_6_43,P01,P01_6,00:06:12.80,00:06:15.00,stir food,stir,10,food,34,['food'],[34]
P01_7_1,P01,P01_7,00:00:11.70,00:00:12.20,crack egg,crack,30,egg,53,['egg'],[53]
P01_7_2,P01,P01_7,00:00:12.20,00:00:17.90,add egg,add,46,egg,53,['egg'],[53]
P01_7_3,P01,P01_7,00:00:20.40,00:00:20.60,crack egg,crack,30,egg,53,['egg'],[53]
P01_7_4,P01,P01_7,00:00:21.00,00:00:22.90,add egg,add,46,egg,53,['egg'],[53]
P01_7_7,P01,P01_7,00:00:31.10,00:00:32.60,move egg,move,11,egg,53,['egg'],[53]
P01_7_8,P01,P01_7,00:00:34.10,00:00:35.00,move egg,move,11,egg,53,['egg'],[53]
P01_7_9,P01,P01_7,00:00:35.50,00:00:35.80,crack egg,crack,30,egg,53,['egg'],[53]
P01_7_10,P01,P01_7,00:00:35.80,00:00:38.60,add egg,add,46,egg,53,['egg'],[53]
P01_7_13,P01,P01_7,00:01:12.60,00:01:13.60,move egg,move,11,egg,53,['egg'],[53]
P01_7_14,P01,P01_7,00:01:13.90,00:01:15.70,move egg,move,11,egg,53,['egg'],[53]
P01_7_15,P01,P01_7,00:01:15.90,00:01:16.90,move egg,move,11,egg,53,['egg'],[53]
P01_9_0,P01,P01_9,00:00:35.90,00:00:37.70,add oil,add,46,oil,31,['oil'],[31]
P01_9_1,P01,P01_9,00:00:47.50,00:01:02.60,add garlic,add,46,garlic,51,['garlic'],[51]
P01_9_2,P01,P01_9,00:03:00.50,00:03:01.90,add garlic,add,46,garlic,51,['garlic'],[51]
P01_9_4,P01,P01_9,00:03:28.40,00:03:37.00,stir garlic,stir,10,garlic,51,['garlic'],[51]
P01_9_6,P01,P01_9,00:03:52.50,00:03:53.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_7,P01,P01_9,00:04:02.10,00:04:07.00,stir garlic,stir,10,garlic,51,['garlic'],[51]
P01_9_8,P01,P01_9,00:04:57.20,00:04:58.70,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_9,P01,P01_9,00:05:01.60,00:05:04.80,transfer garlic,transfer,11,garlic,51,['garlic'],[51]
P01_9_10,P01,P01_9,00:05:08.40,00:05:11.70,add onion,add,46,onion,16,['onion'],[16]
P01_9_11,P01,P01_9,00:05:13.60,00:05:20.10,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_12,P01,P01_9,00:05:24.70,00:05:28.00,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_13,P01,P01_9,00:06:04.00,00:06:06.60,add onion,add,46,onion,16,['onion'],[16]
P01_9_14,P01,P01_9,00:06:08.90,00:06:19.80,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_15,P01,P01_9,00:07:33.70,00:07:35.30,add oil,add,46,oil,31,['oil'],[31]
P01_9_16,P01,P01_9,00:08:21.90,00:08:38.00,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_17,P01,P01_9,00:08:53.10,00:08:57.30,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_18,P01,P01_9,00:08:59.80,00:09:06.90,stir onion,stir,10,onion,16,['onion'],[16]
P01_9_19,P01,P01_9,00:09:06.90,00:09:19.30,transfer onion,transfer,11,onion,16,['onion'],[16]
P01_9_20,P01,P01_9,00:09:22.60,00:09:24.60,add carrot,add,46,carrot,23,['carrot'],[23]
P01_9_21,P01,P01_9,00:09:24.60,00:09:26.90,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_22,P01,P01_9,00:09:45.20,00:09:47.40,add sauce,add,46,sauce,47,['sauce'],[47]
P01_9_23,P01,P01_9,00:10:07.00,00:10:09.00,add sauce,add,46,sauce,47,['sauce'],[47]
P01_9_24,P01,P01_9,00:10:15.00,00:10:16.90,add sauce,add,46,sauce,47,['sauce'],[47]
P01_9_25,P01,P01_9,00:10:23.50,00:10:27.70,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_26,P01,P01_9,00:10:28.40,00:10:34.00,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_27,P01,P01_9,00:10:34.50,00:10:38.60,stir food,stir,10,food,34,['food'],[34]
P01_9_28,P01,P01_9,00:10:40.30,00:10:41.50,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_29,P01,P01_9,00:10:44.80,00:10:47.10,add oil,add,46,oil,31,['oil'],[31]
P01_9_30,P01,P01_9,00:11:11.20,00:11:25.50,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_31,P01,P01_9,00:11:45.70,00:11:57.80,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_32,P01,P01_9,00:12:24.20,00:12:26.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_33,P01,P01_9,00:12:27.00,00:12:28.90,stir carrot,stir,10,carrot,23,['carrot'],[23]
P01_9_34,P01,P01_9,00:12:29.90,00:12:36.70,transfer carrot,transfer,11,carrot,23,['carrot'],[23]
P01_9_35,P01,P01_9,00:12:39.20,00:12:42.90,stir food,stir,10,food,34,['food'],[34]
P01_9_36,P01,P01_9,00:12:43.40,00:12:44.40,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_37,P01,P01_9,00:19:58.90,00:19:59.90,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_38,P01,P01_9,00:20:01.60,00:20:07.20,stir food,stir,10,food,34,['food'],[34]
P01_9_39,P01,P01_9,00:20:07.00,00:20:08.20,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_40,P01,P01_9,00:23:12.80,00:23:15.40,add meat,add,46,meat,28,['meat'],[28]
P01_9_41,P01,P01_9,00:23:43.30,00:23:59.20,stir meat,stir,10,meat,28,['meat'],[28]
P01_9_42,P01,P01_9,00:24:22.20,00:24:30.70,stir meat,stir,10,meat,28,['meat'],[28]
P01_9_45,P01,P01_9,00:25:14.20,00:25:18.00,add milk,add,46,milk,64,['milk'],[64]
P01_9_46,P01,P01_9,00:25:23.40,00:25:27.90,add milk,add,46,milk,64,['milk'],[64]
P01_9_47,P01,P01_9,00:26:23.10,00:26:33.00,add spice,add,46,spice,85,['spice'],[85]
P01_9_48,P01,P01_9,00:26:38.60,00:26:57.20,stir meat,stir,10,meat,28,['meat'],[28]
P01_9_50,P01,P01_9,00:27:09.30,00:27:16.50,stir meat,stir,10,meat,28,['meat'],[28]
P01_9_51,P01,P01_9,00:27:15.00,00:27:16.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_52,P01,P01_9,00:27:24.00,00:27:38.60,transfer meat,transfer,11,meat,28,['meat'],[28]
P01_9_53,P01,P01_9,00:27:47.10,00:27:53.50,stir food,stir,10,food,34,['food'],[34]
P01_9_54,P01,P01_9,00:27:54.30,00:27:55.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_55,P01,P01_9,00:28:02.10,00:28:03.10,add oil,add,46,oil,31,['oil'],[31]
P01_9_56,P01,P01_9,00:28:06.30,00:28:07.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_57,P01,P01_9,00:28:09.20,00:28:10.90,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_9_58,P01,P01_9,00:28:11.20,00:28:16.40,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_60,P01,P01_9,00:29:13.00,00:29:22.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_61,P01,P01_9,00:29:44.80,00:29:56.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_62,P01,P01_9,00:29:57.10,00:30:01.80,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_9_63,P01,P01_9,00:30:15.00,00:30:21.80,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_64,P01,P01_9,00:30:23.60,00:30:24.60,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_65,P01,P01_9,00:30:26.80,00:30:27.80,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_66,P01,P01_9,00:30:33.30,00:30:34.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_67,P01,P01_9,00:30:39.50,00:30:45.80,transfer vegetable,transfer,11,vegetable,94,['vegetable'],[94]
P01_9_68,P01,P01_9,00:30:53.50,00:30:55.70,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_9_69,P01,P01_9,00:30:57.70,00:30:58.70,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_71,P01,P01_9,00:31:06.20,00:31:07.20,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_72,P01,P01_9,00:31:07.30,00:31:11.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_73,P01,P01_9,00:31:11.90,00:31:17.00,stir food,stir,10,food,34,['food'],[34]
P01_9_74,P01,P01_9,00:31:26.00,00:31:29.90,add spice,add,46,spice,85,['spice'],[85]
P01_9_75,P01,P01_9,00:31:35.40,00:31:42.50,stir food,stir,10,food,34,['food'],[34]
P01_9_76,P01,P01_9,00:31:47.30,00:31:50.20,add oil,add,46,oil,31,['oil'],[31]
P01_9_77,P01,P01_9,00:31:51.90,00:32:02.00,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_78,P01,P01_9,00:32:03.40,00:32:05.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_79,P01,P01_9,00:32:05.30,00:32:09.30,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_80,P01,P01_9,00:32:09.10,00:32:11.20,move pot,move,11,pot,29,['pot'],[29]
P01_9_81,P01,P01_9,00:32:25.80,00:32:29.20,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_9_82,P01,P01_9,00:32:13.10,00:32:20.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_83,P01,P01_9,00:32:30.80,00:32:40.60,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_84,P01,P01_9,00:32:48.30,00:32:49.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_85,P01,P01_9,00:32:48.70,00:32:49.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_86,P01,P01_9,00:32:57.10,00:32:58.10,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_87,P01,P01_9,00:32:57.50,00:32:58.50,add spice,add,46,spice,85,['spice'],[85]
P01_9_88,P01,P01_9,00:32:57.50,00:32:58.50,cover pot,cover,36,pot,29,['pot'],[29]
P01_9_89,P01,P01_9,00:33:03.90,00:33:14.20,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_9_90,P01,P01_9,00:33:24.90,00:33:25.90,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_9_91,P01,P01_9,00:33:31.40,00:33:39.80,transfer vegetable,transfer,11,vegetable,94,['vegetable'],[94]
P01_9_92,P01,P01_9,00:33:40.90,00:33:46.80,stir food,stir,10,food,34,['food'],[34]
P01_9_93,P01,P01_9,00:34:26.10,00:34:32.80,stir food,stir,10,food,34,['food'],[34]
P01_9_94,P01,P01_9,00:34:40.40,00:34:41.40,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_0,P01,P01_10,00:02:20.00,00:02:28.00,stir onion,stir,10,onion,16,['onion'],[16]
P01_10_1,P01,P01_10,00:02:52.40,00:02:58.70,stir onion,stir,10,onion,16,['onion'],[16]
P01_10_2,P01,P01_10,00:02:59.90,00:03:01.40,add rice,add,46,rice,152,['rice'],[152]
P01_10_3,P01,P01_10,00:03:01.60,00:03:09.20,stir food,stir,10,food,34,['food'],[34]
P01_10_5,P01,P01_10,00:03:19.20,00:03:37.40,stir food,stir,10,food,34,['food'],[34]
P01_10_6,P01,P01_10,00:03:40.00,00:03:43.40,add water,add,46,water,27,['water'],[27]
P01_10_7,P01,P01_10,00:03:45.10,00:03:51.10,stir food,stir,10,food,34,['food'],[34]
P01_10_8,P01,P01_10,00:04:04.40,00:04:05.00,add ingredient,add,46,ingredient,34,['ingredient'],[34]
P01_10_9,P01,P01_10,00:04:05.80,00:04:06.30,stir food,stir,10,food,34,['food'],[34]
P01_10_10,P01,P01_10,00:04:16.80,00:04:25.40,stir food,stir,10,food,34,['food'],[34]
P01_10_11,P01,P01_10,00:04:28.70,00:04:29.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_12,P01,P01_10,00:06:27.00,00:06:28.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_13,P01,P01_10,00:06:27.80,00:06:39.30,stir food,stir,10,food,34,['food'],[34]
P01_10_14,P01,P01_10,00:06:39.40,00:06:40.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_15,P01,P01_10,00:06:39.90,00:06:45.50,stir food,stir,10,food,34,['food'],[34]
P01_10_16,P01,P01_10,00:06:46.70,00:06:47.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_17,P01,P01_10,00:07:42.30,00:07:43.60,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_18,P01,P01_10,00:07:43.60,00:07:50.90,stir food,stir,10,food,34,['food'],[34]
P01_10_19,P01,P01_10,00:07:52.30,00:07:53.90,add water,add,46,water,27,['water'],[27]
P01_10_21,P01,P01_10,00:08:05.50,00:08:11.00,stir food,stir,10,food,34,['food'],[34]
P01_10_22,P01,P01_10,00:08:12.40,00:08:13.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_23,P01,P01_10,00:10:19.60,00:10:20.70,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_24,P01,P01_10,00:10:21.90,00:10:29.40,stir food,stir,10,food,34,['food'],[34]
P01_10_25,P01,P01_10,00:10:32.00,00:10:33.70,add water,add,46,water,27,['water'],[27]
P01_10_26,P01,P01_10,00:10:35.60,00:10:36.80,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_27,P01,P01_10,00:11:55.10,00:11:57.10,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_28,P01,P01_10,00:11:57.10,00:12:02.70,stir food,stir,10,food,34,['food'],[34]
P01_10_29,P01,P01_10,00:12:03.90,00:12:06.10,stir food,stir,10,food,34,['food'],[34]
P01_10_30,P01,P01_10,00:12:06.30,00:12:07.10,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_31,P01,P01_10,00:14:31.00,00:14:33.70,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_32,P01,P01_10,00:14:33.70,00:14:40.20,stir food,stir,10,food,34,['food'],[34]
P01_10_33,P01,P01_10,00:14:41.00,00:14:43.60,add water,add,46,water,27,['water'],[27]
P01_10_34,P01,P01_10,00:14:47.40,00:14:52.40,add spice,add,46,spice,85,['spice'],[85]
P01_10_35,P01,P01_10,00:14:54.20,00:15:01.10,stir food,stir,10,food,34,['food'],[34]
P01_10_36,P01,P01_10,00:15:03.90,00:15:05.00,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_37,P01,P01_10,00:17:41.30,00:17:42.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_10_38,P01,P01_10,00:17:42.70,00:17:52.80,stir food,stir,10,food,34,['food'],[34]
P01_10_39,P01,P01_10,00:18:01.70,00:18:06.00,stir food,stir,10,food,34,['food'],[34]
P01_10_40,P01,P01_10,00:18:18.20,00:18:21.50,add spice,add,46,spice,85,['spice'],[85]
P01_10_41,P01,P01_10,00:18:24.80,00:18:31.50,stir food,stir,10,food,34,['food'],[34]
P01_10_42,P01,P01_10,00:18:32.80,00:18:35.30,add water,add,46,water,27,['water'],[27]
P01_10_43,P01,P01_10,00:18:37.70,00:18:48.40,stir food,stir,10,food,34,['food'],[34]
P01_10_44,P01,P01_10,00:18:55.10,00:19:09.20,add cheese,add,46,cheese,32,['cheese'],[32]
P01_10_45,P01,P01_10,00:19:12.20,00:19:17.80,add cheese,add,46,cheese,32,['cheese'],[32]
P01_10_46,P01,P01_10,00:19:27.20,00:19:46.20,stir food,stir,10,food,34,['food'],[34]
P01_10_47,P01,P01_10,00:19:52.40,00:19:54.80,add milk,add,46,milk,64,['milk'],[64]
P01_10_48,P01,P01_10,00:20:04.30,00:20:22.60,stir food,stir,10,food,34,['food'],[34]
P01_10_49,P01,P01_10,00:20:27.80,00:20:29.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_10_50,P01,P01_10,00:27:26.40,00:27:27.10,remove pot,remove,12,pot,29,['pot'],[29]
P01_11_9,P01,P01_11,00:04:28.50,00:04:29.50,remove spoon,remove,12,spoon,1,['spoon'],[1]
P01_12_3,P01,P01_12,00:00:19.20,00:00:21.80,add oil,add,46,oil,31,['oil'],[31]
P01_12_4,P01,P01_12,00:00:45.00,00:00:49.90,spread oil,spread,27,oil,31,['oil'],[31]
P01_12_6,P01,P01_12,00:01:13.70,00:01:14.50,add meat,add,46,meat,28,['meat'],[28]
P01_12_7,P01,P01_12,00:01:16.50,00:01:17.50,add meat,add,46,meat,28,['meat'],[28]
P01_12_8,P01,P01_12,00:01:19.40,00:01:19.80,add meat,add,46,meat,28,['meat'],[28]
P01_12_9,P01,P01_12,00:01:22.30,00:01:22.50,add meat,add,46,meat,28,['meat'],[28]
P01_12_10,P01,P01_12,00:01:24.50,00:01:26.50,add meat,add,46,meat,28,['meat'],[28]
P01_12_11,P01,P01_12,00:01:28.50,00:01:29.10,add meat,add,46,meat,28,['meat'],[28]
P01_12_12,P01,P01_12,00:01:29.40,00:01:30.00,add meat,add,46,meat,28,['meat'],[28]
P01_12_13,P01,P01_12,00:01:38.20,00:01:43.00,add meat,add,46,meat,28,['meat'],[28]
P01_12_14,P01,P01_12,00:01:54.80,00:01:57.50,add salt,add,46,salt,38,['salt'],[38]
P01_12_15,P01,P01_12,00:02:02.40,00:02:46.10,stir meat,stir,10,meat,28,['meat'],[28]
P01_12_16,P01,P01_12,00:02:47.10,00:02:49.30,stir meat,stir,10,meat,28,['meat'],[28]
P01_14_0,P01,P01_14,00:00:03.80,00:00:06.20,move saucepan,move,11,saucepan,5,['saucepan'],[5]
P01_15_0,P01,P01_15,00:00:03.60,00:00:05.10,add egg,add,46,egg,53,['egg'],[53]
P01_15_1,P01,P01_15,00:00:08.10,00:00:27.10,shake egg,shake,15,egg,53,['egg'],[53]
P01_15_2,P01,P01_15,00:00:33.30,00:00:38.70,add cheese,add,46,cheese,32,['cheese'],[32]
P01_15_4,P01,P01_15,00:00:59.40,00:01:00.70,add oil,add,46,oil,31,['oil'],[31]
P01_15_5,P01,P01_15,00:01:09.80,00:01:12.50,spread oil,spread,27,oil,31,['oil'],[31]
P01_15_7,P01,P01_15,00:01:21.00,00:01:30.60,shake egg,shake,15,egg,53,['egg'],[53]
